#
## fault_report.txt
## File generated by TOOL:	xfr(64)	20.09-s001 on Jan 08, 2024 at 00:42:00 WET
#

{ <list of fault nodes> } <fault_seed> <fault_type> <fault injection time> <finish time> <result> <id equiv> <test> <seed>
"testbench_bist.top_level.clock"    0    SA0    0fs    5us    <STOPPED,POTENTIALLY_DETECTED:5us>	<1 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_48"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<179 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_48"    NA    SA1    NA    NA    <NOT_RUN,DETECTED:NA>	<181 180>	"NA"	NA
"testbench_bist.top_level.n_197"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<180 NA>	"NA"	NA
"testbench_bist.top_level.n_197"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<182 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_ru2"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<183 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_ru2"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<184 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_1"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<185 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_1"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<186 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_45"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<187 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_45"    NA    SA1    NA    NA    <NOT_RUN,DETECTED:NA>	<189 188>	"NA"	NA
"testbench_bist.top_level.n_200"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<188 NA>	"NA"	NA
"testbench_bist.top_level.n_200"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<190 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_ru3"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<191 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_ru3"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<192 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_2"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<193 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_2"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<194 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_44"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<195 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_44"    NA    SA1    NA    NA    <NOT_RUN,DETECTED:NA>	<197 196>	"NA"	NA
"testbench_bist.top_level.n_198"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<196 NA>	"NA"	NA
"testbench_bist.top_level.n_198"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<198 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_ru4"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<199 NA>	"NA"	NA
